epoch	phase	mode	dataset	f1	min_dist	avg_dist	min_pair	avg_base_lp	min_base_lp
9	Phase2-LoRA	fresh	hvb	0.0615	0.741695	0.945408	self∩statement_open	-38.2940	-47.1168
9	Phase2-LoRA	fresh	voxpopuli	0.1658	0.895898	0.953891	org∩place	-34.4458	-40.1551
9	Phase2-LoRA	fresh	meld_emotion	0.2837	0.889578	0.955312	neutral∩sadness	-36.1833	-40.1946
10	Phase2-LoRA	fixed	voxceleb	0.4567	0.938916	0.950664	neutral∩positive	-34.3522	-37.0164
10	Phase2-LoRA	fixed	hvb	0.051	0.758059	0.959392	answer_dis∩backchannel	-36.3918	-45.6431
10	Phase2-LoRA	fixed	voxpopuli	0.1652	0.758059	0.947664	place∩quant	-36.1281	-38.8422
10	Phase2-LoRA	fixed	meld_emotion	0.3611	0.758059	0.958042	anger∩joy	-36.5597	-38.4312
10	Phase2-LoRA	fresh	voxceleb	0.346	0.951461	0.966300	negative∩positive	-39.7749	-42.1618
10	Phase2-LoRA	fresh	hvb	0.0722	0.780454	0.956496	other∩question_check	-36.5547	-42.3662
10	Phase2-LoRA	fresh	voxpopuli	0.1248	0.892666	0.966959	law∩person	-34.9134	-38.8305
10	Phase2-LoRA	fresh	meld_emotion	0.2223	0.860608	0.961246	joy∩neutral	-37.0481	-44.9673
11	Phase2-LoRA	fixed	voxceleb	0.3142	0.949245	0.968977	negative∩positive	-38.0674	-38.8422
11	Phase2-LoRA	fixed	hvb	0.0594	0.758059	0.959825	answer_general∩statement_general	-36.3577	-45.6431
11	Phase2-LoRA	fixed	voxpopuli	0.1116	0.765650	0.957680	org∩person	-35.4957	-42.9998
11	Phase2-LoRA	fixed	meld_emotion	0.3567	0.889278	0.970012	anger∩sadness	-37.3047	-40.1979
11	Phase2-LoRA	fresh	voxceleb	0.3025	0.992094	0.997405	negative∩neutral	-34.8266	-37.8715
11	Phase2-LoRA	fresh	hvb	0.0613	0.874209	0.967452	self∩statement_open	-37.2571	-45.2486
11	Phase2-LoRA	fresh	voxpopuli	0.1253	0.862153	0.952493	place∩quant	-36.5774	-44.4835
11	Phase2-LoRA	fresh	meld_emotion	0.238	0.901528	0.956922	disgust∩surprise	-38.5167	-46.1299
